시도,피해시작일,산불횟수,가뭄횟수,산불지수
강원도,2013,36,0,2
강원도,2014,73,39,3
강원도,2015,125,62,5
강원도,2016,91,20,4
강원도,2017,103,58,4
강원도,2018,47,72,3
강원도,2019,78,58,3
강원도,2020,74,85,3
전라남도,2013,60,8,3
전라남도,2014,80,3,3
전라남도,2015,56,4,3
전라남도,2016,24,18,1
전라남도,2017,35,34,2
전라남도,2018,42,6,2
전라남도,2019,39,7,2
전라남도,2020,38,11,2
경상북도,2013,61,7,3
경상북도,2014,124,17,5
경상북도,2015,105,51,4
경상북도,2016,56,28,3
경상북도,2017,139,21,5
경상북도,2018,117,20,5
경상북도,2019,140,8,5
경상북도,2020,140,4,5
경상남도,2013,50,3,3
경상남도,2014,43,5,2
경상남도,2015,34,0,2
경상남도,2016,18,0,1
경상남도,2017,75,7,3
경상남도,2018,84,7,3
경상남도,2019,88,4,3
경상남도,2020,57,2,3
충청북도,2013,14,0,1
충청북도,2014,18,7,1
충청북도,2015,31,35,2
충청북도,2016,19,11,1
충청북도,2017,46,90,4
충청북도,2018,33,44,2
충청북도,2019,28,34,1
충청북도,2020,13,7,1
충청남도,2013,27,0,1
충청남도,2014,36,7,2
충청남도,2015,36,1,2
충청남도,2016,19,4,1
충청남도,2017,72,72,3
충청남도,2018,40,13,2
충청남도,2019,55,30,3
충청남도,2020,42,2,2
경기도,2013,14,4,1
경기도,2014,89,26,4
경기도,2015,215,59,5
경기도,2016,151,41,5
경기도,2017,198,86,5
경기도,2018,104,52,4
경기도,2019,202,66,5
경기도,2020,231,9,5
전라북도,2013,32,0,0
전라북도,2014,29,1,2
전라북도,2015,21,4,1
전라북도,2016,13,25,1
전라북도,2017,24,4,1
전라북도,2018,29,18,2
전라북도,2019,23,29,1
전라북도,2020,23,0,1
