시도,피해시작일,횟수,,
강원도,2013,36,,
강원도,2014,73,,
강원도,2015,125,,
강원도,2016,91,,
강원도,2017,103,,
강원도,2018,47,,
강원도,2019,78,,
강원도,2020,74,,
전라남도,2013,60,,
전라남도,2014,80,,
전라남도,2015,56,,
전라남도,2016,24,,
전라남도,2017,35,,
전라남도,2018,42,,
전라남도,2019,39,,
전라남도,2020,38,,
전라남도,2021,33,,
전라남도,2022,60,,
경상북도,2013,61,,
경상북도,2014,124,,
경상북도,2015,105,,
경상북도,2016,56,,
경상북도,2017,139,,
경상북도,2018,117,,
경상북도,2019,140,,
경상북도,2020,140,,
경상북도,2021,79,,
경상북도,2022,168,,
경상남도,2013,50,,
경상남도,2014,43,,
경상남도,2015,34,,
경상남도,2016,18,,
경상남도,2017,75,,
경상남도,2018,84,,
경상남도,2019,88,,
경상남도,2020,57,,
경상남도,2021,43,,
경상남도,2022,127,,
충청북도,2013,14,,
충청북도,2014,18,,
충청북도,2015,31,,
충청북도,2016,19,,
충청북도,2017,46,,
충청북도,2018,33,,
충청북도,2019,28,,
충청북도,2020,13,,
충청북도,2021,8,,
충청북도,2022,24,,
충청남도,2013,27,,
충청남도,2014,36,,
충청남도,2015,36,,
충청남도,2016,19,,
충청남도,2017,72,,
충청남도,2018,40,,
충청남도,2019,55,,
충청남도,2020,42,,
충청남도,2021,28,,
충청남도,2022,75,,
경기도,2013,14,,
경기도,2014,89,,
경기도,2015,215,,
경기도,2016,151,,
경기도,2017,198,,
경기도,2018,104,,
경기도,2019,202,,
경기도,2020,231,,
경기도,2021,86,,
경기도,2022,171,,
전라북도,2013,32,,
전라북도,2014,29,,
전라북도,2015,21,,
전라북도,2016,13,,
전라북도,2017,24,,
전라북도,2018,29,,
전라북도,2019,23,,
전라북도,2020,23,,
전라북도,2021,23,,
전라북도,2022,51,,
제주,2013,2,,
제주,2014,0,,
제주,2015,0,,
제주,2016,0,,
제주,2017,0,,
제주,2018,0,,
제주,2019,0,,
제주,2020,2,,
제주,2021,0,,
제주,2022,1,,
,,,,
