지역번호,지역명,일시,평균월강수량(mm),최다월강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,7-23,141.4,283.9,문경,46,문경
0,전국,6-23,210,483.2,영주,66.7,진주
0,전국,5-23,193.4,415.5,남해,40.6,남해
0,전국,4-23,66.3,163.5,완도,14.4,거제
0,전국,3-23,28.7,80.4,거제,28.9,거제
0,전국,2-23,15.2,65.5,울진,14.3,여수
0,전국,1-23,40.5,113.8,거제,76,거제
0,전국,12-22,15.2,66.7,정읍,9,부산
0,전국,11-22,61.6,200.6,울진,66,영덕
0,전국,10-22,77.6,377.1,속초,40.2,울진
0,전국,9-22,150.8,512,포항,77,포항
0,전국,8-22,311.5,947.4,양평,92.2,부여
0,전국,7-22,178.4,350.5,충주,42.5,해남
0,전국,6-22,184.7,484.2,강화,87.8,서산
0,전국,5-22,5.8,14.5,철원,8.4,산청
0,전국,4-22,59.4,191.7,통영,68.4,통영
0,전국,3-22,89.4,169.2,남해,61.7,남해
0,전국,2-22,3.5,15.3,정읍,6.5,속초
0,전국,1-22,2.6,14.6,울진,5.1,울진
0,전국,12-21,7.2,68.7,속초,26.6,속초
0,전국,11-21,58,126.2,서산,62.2,거제
0,전국,10-21,53.9,216.9,속초,26.6,울진
0,전국,9-21,145.8,250.8,천안,62.6,서산
0,전국,8-21,288.4,503.3,정읍,71.4,영덕
0,전국,7-21,233.8,521.2,창원,64.7,서울
0,전국,6-21,91.6,266.1,거제,56.3,원주
0,전국,5-21,143.8,240.9,남원,34,금산
0,전국,4-21,76.3,138.2,거제,25,서산
0,전국,3-21,110.7,234.4,남해,52,남해
0,전국,2-21,20.1,81.4,거제,19.1,거제
0,전국,1-21,19.9,42.6,정읍,9.8,포항
0,전국,12-20,7.8,34.9,정읍,7.1,부안
0,전국,11-20,40.8,120.1,서울,44.1,서산
0,전국,10-20,10.5,31.9,거제,19.7,수원
0,전국,9-20,219.1,613.8,강릉,57.4,강릉
0,전국,8-20,420.8,903,철원,81.5,광주
0,전국,7-20,427.7,796.8,부산,70.4,부산
0,전국,6-20,182.9,383.1,해남,56.3,강릉
0,전국,5-20,103.5,258.6,완도,28.7,수원
0,전국,4-20,41,93.8,남해,13.6,보은
0,전국,3-20,29.2,72.1,거제,17,남해
0,전국,2-20,58.7,94.9,부산,30.5,남해
0,전국,1-20,83.7,178.7,울산,33,남해
0,전국,12-19,26.5,50.3,부산,13.5,거제
0,전국,11-19,57.4,157.3,속초,52.1,군산
0,전국,10-19,160.5,661.3,울진,90.2,울진
0,전국,9-19,223,439.3,거제,55.5,충주
0,전국,8-19,136.9,293.5,완도,60.5,양평
0,전국,7-19,226.5,512.2,해남,66.4,남원
0,전국,6-19,150,442.1,해남,40.5,거제
0,전국,5-19,56.7,207.8,남해,23.5,남해
0,전국,4-19,78.9,130.4,남해,10.8,목포
0,전국,3-19,39.4,79.2,남해,28.5,거제
0,전국,2-19,32.2,65.3,거제,27,거제
0,전국,1-19,8,20.2,남원,7.5,강릉
0,전국,12-18,28.4,59.5,통영,31.6,통영
0,전국,11-18,49.8,207.4,속초,57,부산
0,전국,10-18,157.8,358.1,영덕,46.5,남해
0,전국,9-18,143.7,529.4,통영,53.2,통영
0,전국,8-18,304.3,625,속초,79,강릉
0,전국,7-18,178.9,324.9,청주,55.8,청주
0,전국,6-18,137.5,390.7,거제,57.7,서산
0,전국,5-18,134.1,323.8,거제,67.3,대관령
0,전국,4-18,137.1,243.4,거제,20.7,완도
0,전국,3-18,112.3,294,남해,53,고흥
0,전국,2-18,31.9,54.4,속초,37.6,부산
0,전국,1-18,21.3,58,목포,12.6,목포
0,전국,12-17,22,46.9,군산,20,부안
0,전국,11-17,13.1,42.2,인천,27,인천
0,전국,10-17,65.5,186.5,남해,45.9,해남
0,전국,9-17,99.3,410.5,거제,78.8,부산
0,전국,8-17,239.5,444.1,강릉,57.2,구미
0,전국,7-17,313.5,789.1,청주,86.2,청주
0,전국,6-17,59.7,274.7,고흥,101.2,고흥
0,전국,5-17,30,101.5,정읍,29.9,정읍
0,전국,4-17,71,220.7,거제,15.8,창원
0,전국,3-17,23.9,48.7,속초,13.2,부산
0,전국,2-17,30.6,73,장수,19,남해
0,전국,1-17,14.4,82.4,속초,21.3,속초
0,전국,12-16,65,148.5,거제,50.2,고흥
0,전국,11-16,32.5,112.6,완도,38.1,완도
0,전국,10-16,144.1,358.7,울산,98.3,울산
0,전국,9-16,206.2,588.8,남해,73.9,여수
0,전국,8-16,78.2,282.6,강릉,70.5,포항
0,전국,7-16,309.7,617.1,춘천,102.7,서산
0,전국,6-16,66.8,162.2,여수,41.4,춘천
0,전국,5-16,98.7,203.6,남해,24,남해
0,전국,4-16,159.5,410.5,남해,39,남해
0,전국,3-16,57,133.5,부산,44,정읍
0,전국,2-16,46.7,119.5,남해,34.4,통영
0,전국,1-16,24.6,81.5,거제,15.5,통영
0,전국,12-15,40.6,86.7,장수,12.4,완도
0,전국,11-15,125.7,463.5,속초,31.5,거제
0,전국,10-15,67,149.5,장수,28.8,목포
0,전국,9-15,56,174.7,거제,32.4,군산
0,전국,8-15,113.4,308.2,대관령,63.5,대구
0,전국,7-15,181.5,458,철원,45.8,수원
0,전국,6-15,96,179.5,완도,40,금산
0,전국,5-15,57.6,207.3,남해,26.5,고흥
0,전국,4-15,128.7,367.2,거제,37.5,완도
0,전국,3-15,41.7,128,남해,28.5,남해
0,전국,2-15,25.4,72,남해,17.5,완도
0,전국,1-15,26.1,60.8,통영,26,부산
0,전국,12-14,25.5,95.9,부안,10,부산
0,전국,11-14,55.9,104.6,완도,40,고흥
0,전국,10-14,120.8,195,울진,36.9,목포
0,전국,9-14,119.4,224.4,완도,48.5,장흥
0,전국,8-14,373.1,872.2,거제,79.5,창원
0,전국,7-14,154.8,302.2,고흥,54.5,대관령
0,전국,6-14,80.7,185.5,고흥,50,보은
0,전국,5-14,59.9,210.8,거제,24.5,거제
0,전국,4-14,84.4,236.9,울진,25.4,울진
0,전국,3-14,77.1,222.5,거제,24.5,남해
0,전국,2-14,26.9,168.9,강릉,18,보령
0,전국,1-14,10.3,46,강릉,11,강릉
0,전국,12-13,21.1,62.7,속초,27,속초
0,전국,11-13,60,99.7,목포,28,밀양
0,전국,10-13,54.1,212.8,울진,25.4,울산
0,전국,9-13,120.3,320,보령,55.5,보령
0,전국,8-13,161,297,남원,47.2,춘천
0,전국,7-13,319.6,1009.2,철원,63,임실
0,전국,6-13,104.4,229.9,청주,37.5,금산
0,전국,5-13,130,302,남해,25,부산
0,전국,4-13,77,169.9,남해,19,군산
0,전국,3-13,60.7,125.4,완도,50,해남
0,전국,2-13,51,176.5,남해,49.5,남해
0,전국,1-13,27.8,77.3,속초,15.4,울진
