시도,시군구,피해시작일,발생횟수
전라남도,강진군,2013-08-10,2
전라남도,강진군,2013-08-11,1
전라남도,강진군,2016-08-19,1
전라남도,고흥군,2008-05-30,1
전라남도,고흥군,2016-01-01,3
전라남도,고흥군,2016-08-25,6
전라남도,고흥군,2017-01-01,3
전라남도,고흥군,2017-05-31,6
전라남도,고흥군,2017-06-05,1
전라남도,목포시,2017-07-31,1
전라남도,목포시,2020-05-22,1
전라남도,보성군,2017-05-07,1
전라남도,보성군,2017-05-20,2
전라남도,보성군,2017-05-22,1
전라남도,보성군,2017-05-29,1
전라남도,보성군,2017-05-30,1
전라남도,보성군,2017-06-02,1
전라남도,보성군,2017-06-05,1
전라남도,보성군,2017-06-16,1
전라남도,보성군,2017-06-18,1
전라남도,보성군,2017-07-10,3
전라남도,보성군,2017-07-11,1
전라남도,보성군,2019-08-09,1
전라남도,신안군,2015-11-01,2
전라남도,신안군,2015-11-02,1
전라남도,신안군,2015-12-14,1
전라남도,신안군,2016-01-01,4
전라남도,신안군,2017-06-10,1
전라남도,신안군,2017-07-10,1
전라남도,신안군,2017-08-15,2
전라남도,신안군,2018-01-01,3
전라남도,신안군,2020-11-09,1
전라남도,여수시,2012-12-05,1
전라남도,여수시,2016-02-10,1
전라남도,여수시,2016-08-10,1
전라남도,여수시,2019-01-16,1
전라남도,여수시,2019-05-01,1
전라남도,여수시,2019-08-14,1
전라남도,여수시,2020-01-15,1
전라남도,여수시,2020-03-30,1
전라남도,여수시,2020-04-22,1
전라남도,완도군,2007-10-15,1
전라남도,완도군,2007-12-10,2
전라남도,완도군,2008-02-12,1
전라남도,완도군,2008-02-18,1
전라남도,완도군,2008-10-13,1
전라남도,완도군,2008-10-31,1
전라남도,완도군,2008-11-15,2
전라남도,완도군,2008-12-01,1
전라남도,완도군,2009-11-02,2
전라남도,완도군,2009-11-16,1
전라남도,완도군,2009-12-28,1
전라남도,완도군,2010-01-01,1
전라남도,완도군,2010-11-15,2
전라남도,완도군,2011-03-21,1
전라남도,완도군,2011-10-14,1
전라남도,완도군,2011-10-31,2
전라남도,완도군,2012-01-30,1
전라남도,완도군,2013-09-01,1
전라남도,완도군,2013-09-06,1
전라남도,완도군,2013-09-22,1
전라남도,완도군,2013-12-02,2
전라남도,완도군,2014-02-03,2
전라남도,완도군,2014-04-01,1
전라남도,완도군,2017-07-13,1
전라남도,완도군,2017-08-07,2
전라남도,완도군,2018-03-05,2
전라남도,장흥군,2016-08-20,2
전라남도,장흥군,2017-06-05,1
전라남도,진도군,2019-01-05,1
전라남도,진도군,2020-01-20,1
전라남도,화순군,2019-08-02,1
전라남도,화순군,2020-03-06,1
